Tier,College Name,Location,Placement Officer Name,Designation,Phone,Email,Alternate Contact,Website,Verification Status
Tier 3,Alpha College of Engineering,"Hennur-Bagalur Road, Bangalore",Mr. N. Hussain,Director - Placement & Training,"080-28445218, 080-28445248",info@alphace.ac.in,admissions@alphace.ac.in,https://www.alphace.ac.in,General Office
Tier 3,City Engineering College,"Kanakapura Road, Bangalore",Dr. Mohammed Mathenulla Shariff,Training & Placement Officer,+91 9880521339,placements@cityengineeringcollege.ac.in,College: +91 9880411361,https://cityengineeringcollege.ac.in/placements,Verified
Tier 3,Impact College of Engineering & Applied Sciences (ICEAS),"Kodigehalli, Bangalore",Placement Cell,Training & Placement (Wg. Cdr Ganesan / Mr. Ramaprasad),"+91 8050011855, +91 8880810015",info@impact.ac.in,engg@impactinstitutions.org; admissions@impact.ac.in,https://impact.ac.in,General Office
Tier 3,Akash Institute of Engineering & Technology,"Devanahalli, Bangalore",Placement Cell,Training & Placement,+91 9513107575,sindhu.placement@akashinstitutions.com,Info@akashiet.com,https://www.akashinstitutions.com/placements,Verified
Tier 3,Vivekananda Institute of Technology (VKIT),"Kumbalagodu, Bangalore",Dr. Shaila,Placement Officer,"+91 9964579958, 080-28437036",principal@vitb.ac.in,vkitprincipal@gmail.com,https://vitb.ac.in,Verified
Tier 3,Sri Krishna Institute of Technology (SKIT),"Chikkabanavara, Bangalore",Nethravathi B,Training & Placement Officer,"080-28392221, +91 9731296446",info@skit.org.in,Contact via college website,https://skit.org.in/placements,Verified
Tier 3,KNS Institute of Technology,"Yelahanka, Bangalore",Mr. Mujtaba Waseem,Placement & Training Officer,"+91 9900033935, 080-28567955",placement@knsit.com,info@knsit.com,https://knsit.in/placements,Verified
Tier 3,Rajiv Gandhi Institute of Technology (RGIT),"RT Nagar, Bangalore",Ravikumar N,Head of Corporate Relations,"+91 9844157207, 080-23631145",placement@rgit.ac.in,principal@rgit.ac.in,https://www.rgit.ac.in,Verified
Tier 3,PES University (Engineering),"100 Feet Road, Bangalore",Placement Office,Career Development Cell,080-26721983,placement@pes.edu,Contact PES placement portal,https://www.pes.edu,General Office
Tier 3,Ramaiah University of Applied Sciences (RUAS),"MSRIT Campus, Bangalore",Placement Cell,Training & Placement,080-23600810,placement@msruas.ac.in,Contact MSRIT placement coordination,https://www.msruas.ac.in,General Office
Tier 3,Nitte School of Engineering (NSE),"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Same as NMIT contacts,https://www.nitte.edu.in,Verified
Tier 3,Global Institute of Technology (GIT),"Rajajinagar, Bangalore",Placement Cell,Training & Placement,080-28603158,placement@gat.ac.in,Note: Different from GAT - verify college,https://gat.ac.in,General Office
Tier 3,Sri Sairam College of Engineering (SSCE),"Anekal, Bangalore",Placement Cell,Training & Placement,080-27822000,principal@sairam.edu.in,Contact college for TPO,https://www.saice.ac.in,General Office
Tier 3,Nitte Meenakshi Institute of Technology - MBA,"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Dr. Vinayaka N: +91 9902385846,https://www.nmit.ac.in,Verified
Tier 3,Nitte School of Architecture (Engineering wing),"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Nitte group placement,https://www.nitte.edu.in,General Office
Tier 3,R.V. College of Architecture (Engineering affiliated),"Jayanagar, Bangalore",Placement Cell,Training & Placement,080-67178000,placement@rvce.edu.in,RVCE group placement,https://www.rvce.edu.in,General Office
Tier 3,Nitte School of Management (Engineering placements),"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Nitte group,https://www.nitte.edu.in,General Office
Tier 3,East Point Group - MBA/MCA Placements,"Bidarahalli, Bangalore",Mr. Sachin N. Gudimani,Head - Training & Placement,+91 9916906243,placement@eastpoint.ac.in,Prof. Dhananjaya: +91 9986400400,https://epcet.edu.in/placement,Verified
Tier 3,Don Bosco Institute of Technology - MCA,"Kumbalagodu, Bangalore",Prof. Umesh V,Director - Training & Placement,+91 7259855234,placements@dbit.co.in,,https://dbit.edu.in,Verified
Tier 3,Presidency University - MBA Placements,"Yelahanka, Bangalore",Ms. Kavitha V,Associate Director - CSIC,+91 9944798031,kavitha.v@presidencyuniversity.in,Mr. Mohammed Asif T: +91 9449219600,https://presidencyuniversity.in/placements,Verified
Tier 3,CMR Institute of Technology - MBA,"Kundalahalli, Bangalore",Shri. Heroji Anbalagan,Placement Head - MBA,080-28524466,anbalagan.h@cmrit.ac.in,Dr. Poonam V. Tijare: +91 9342581014,https://www.cmrit.ac.in/placements/contact-us,Verified
Tier 3,BNMIT - MBA Placements,"Banashankari, Bangalore",Ms. Payal Jindal,Placement Head - MBA,+91 9902058434,mbaplacements@bnmit.in,payaljindal@bnmit.in,https://www.bnmit.org,Verified
Tier 3,RNSIT - MBA Placements,"RR Nagar, Bangalore",Placement Cell,MBA Placement Office,080-28611880,placement.mba@rnsit.ac.in,Dr. Mamatha G: +91 9945744833,https://www.rnsit.ac.in/placements,Verified
Tier 3,MVJ College - MCA Placements,"Whitefield, Bangalore",Prof. Jayaramu M,Placement Coordinator - MCA,+91 8861292408,director.placement@mvjce.edu.in,Prof. Ujjwal Divakaran: +91 80-42991080,https://mvjce.edu.in,Verified
Tier 3,Acharya - MBA Placements,"Soladevanahalli, Bangalore",Geetha Gopinath,Placement Officer - MBA,+91 7406644449,placements@acharya.ac.in,Dr. Hemamalini M J: hemamalini2951@acharya.ac.in,https://www.ait.ac.in,Verified
Tier 3,SEA College - MBA/MCA Placements,"KR Puram, Bangalore",Dr. Chidanand Prasad R,Director - Placements,+91 8095700789,director.placements@seaedu.ac.in,placement.seacet@gmail.com,https://seacet.edu.in,Verified
Tier 3,Oxford College - MBA/MCA Placements,"HSR Layout, Bangalore",Dr. Bheemeswara Reddy V,Dean - Training & Placements,+91 9035806160,placements@theoxford.edu,Prof. Rajesh G.L: +91 9916468891,https://www.theoxfordengg.org,Verified
Tier 3,HKBK - OneSB Placements,"Nagawara, Bangalore",Placement Cell - OneSB,Training & Placement,+91 9740878146,placements@onesb.edu.in,Spoorthy Mahadikar: placements@hkbk.edu.in,https://hkbk.edu.in,Verified
Tier 3,Jain University - MBA Placements,Bangalore,Premavathi S,Team Lead - Placements & Corporate Relations,+91 9482896935,premavathi.s@jainuniversity.ac.in,placements@jainuniversity.ac.in,https://www.jainuniversity.ac.in,Verified
Tier 3,Alliance University - MBA Placements,"Anekal, Bangalore",Placement Office,Career Advancement & Networking,+91 80 46199066,placements@alliance.edu.in,bindu.ev@alliance.edu.in,https://www.alliance.edu.in,Verified
Tier 3,CMR University - MBA Placements,"HRBR Layout, Bangalore",Aditya Gupta,Director - Training & Placements,+91 80 25426977,aditya.g@cmr.edu.in,Farheen Khan: farheen.k@cmr.edu.in,https://cmr.edu.in/placement-cell,Verified
Tier 3,REVA University - MBA Placements,"Yelahanka, Bangalore",Dr. N. Ramesh,"Dean - Training, Placement & Planning",080-46966966,placement@reva.edu.in,,https://www.reva.edu.in,Verified
Tier 3,New Horizon - MBA Placements,"Kadubeesanahalli, Bangalore",Mr. Pradeep Kote,Sr. Director - CDC,+91 9740033009,sr.dir_cdc@newhorizonindia.edu,tpo_nhce@newhorizonindia.edu,https://placements.newhorizoncollegeofengineering.in,Verified
Tier 3,RajaRajeswari - MBA/MCA Placements,"Mysore Road, Bangalore",Prof. SUSHMA RAWATH,MBA Placement Coordinator,+91 9482413278,placements@rrce.org,Dr. Parameshwara P: +91 9945938845,https://www.rrce.org/placement-contact,Verified
Tier 3,Sapthagiri - MBA Placements,"Hesaraghatta, Bangalore",Prof. Gurucharan Singh,Group CHRO,+91 9008509999,gurucharan.singh@snpsu.edu.in,placements@rrce.org,https://sapthagiri.edu.in,Verified
