City,Tier,College Name,Location,Placement Officer Name,Designation,Phone,Email,Alternate Contact,Website,Verification Status
Bangalore,Tier 3,East Point College of Engineering (EPCET),"Bidarahalli, Bangalore",Prof. Dhananjaya,Director - Training & Placement,"+91 9986400400, +91 9916906243",placement@eastpoint.ac.in,Mr. Sachin N. Gudimani (Head T&P),https://epcet.edu.in/placement,Verified
Bangalore,Tier 3,Presidency University,"Yelahanka, Bangalore",Dr. B.V. Prabhu,Director - Placements (In Charge),+91 9442805410,bvprabhu@presidencyuniversity.in,komala.r@presidencyuniversity.in; mohammedasift@presidencyuniversity.in,https://presidencyuniversity.in/placements,Verified
Bangalore,Tier 3,BTL Institute of Technology & Management,"Bommasandra, Bangalore",Placement Cell,Training & Placement,"080-27833370, 080-27835319",btladmissions@gmail.com,+91 7338134797,http://www.btlitm.edu.in,General Office
Bangalore,Tier 3,KS School of Engineering & Management (KSSEM),"Kanakapura Road, Bangalore",Dr. Harish R,Training & Placement Officer,"+91 8496849656, +91 9845848331",placement@kssem.edu.in,Mr. Santhosh Kumar K J: +91 7829659656,https://kssem.edu.in/about_placement,Verified
Bangalore,Tier 3,Sai Vidya Institute of Technology (SVIT),"Rajanukunte, Bangalore",Prof. Anand Kumar V,Placement Head,"+91 9108015199, +91 9738541844",placement@saividya.ac.in,Ms. Gagana T M: +91 7019596474,https://saividya.ac.in/placement,Verified
Bangalore,Tier 3,Sambhram Institute of Technology,"Jalahalli East, Bangalore",Mrs. Rashmi Rajeev,Head - TPO,"+91 8762631908, +91 9686179674",placements@sambhram.org,Mrs. Ramya Hariharan: +91 7204331871,https://sambhramit.com/contact-placements,Verified
Bangalore,Tier 3,Cambridge Institute of Technology,"KR Puram, Bangalore",Bhanurekha Reddy,Director - Training & Placements,"+91 8884107007, 080-25618798",bhanu.director@cambridge.edu.in,Muyeez Pasha (Placement Officer),https://engg.cambridge.edu.in,Verified
Bangalore,Tier 3,Brindavan College of Engineering,"Yelahanka, Bangalore",Kavya N Reddy,Placement Officer,+91 6362127931,placement@brindavancollege.com,Bhavit Kumar Tripathi: +91 8147546163,https://brindavancollegeofengineering.com,Verified
Bangalore,Tier 3,Sapthagiri College of Engineering,"Hesaraghatta, Bangalore",Prof. Gurucharan Singh,Group CHRO - Placements,"+91 9008509999, +91 9611277233",gurucharan.singh@snpsu.edu.in,principal@sapthagiri.edu.in,https://sapthagiri.edu.in/placementcell,Verified
Bangalore,Tier 3,APS College of Engineering,"Kanakapura Road, Bangalore",Dr. Narsimha R Parvatikar,Placement Officer,"+91 9448576930, 080-28432108",placementaps@gmail.com,principal.apsce@gmail.com,https://www.apsce.ac.in,Verified
Bangalore,Tier 3,GSS Institute of Technology,"Kengeri, Bangalore",Prof. Varadaraj Iyenger,Head - Training & Placement,"080-28482515, 080-28482516",secretary@gssit.org,info@gssit.org,https://gssit.org,Verified
Bangalore,Tier 3,ACS College of Engineering,"Mysore Road, Bangalore",Komala R,Training & Placement Officer,"080-29748777, 080-29748333",admission@acsce.edu.in,Contact placement via college office,https://www.acsce.edu.in/about-placement,Verified
Bangalore,Tier 3,The Oxford College of Engineering,"HSR Layout, Bangalore",Dr. Bheemeswara Reddy V,Dean - Training & Placements,+91 9035806160,hodplacements@theoxford.edu,"Prof. Rajesh G.L: +91 9916468891, placements@theoxford.edu",https://www.theoxfordengg.org,Verified
Bangalore,Tier 3,T. John Institute of Technology,"Bannerghatta Road, Bangalore",Prabhin V S,Training & Placement Officer,"+91 9500692614, 080-49030544",tjitplacement@tjohngroup.com,placementcell@tjohngroup.com,https://tjohncollege.com,Verified
Bangalore,Tier 3,HKBK College of Engineering,"Nagawara, Bangalore",Spoorthy Mahadikar,Head - Placements,"+91 8951899042, 080-25441722",placements@hkbk.edu.in,Prameela B: +91 9035000407,https://hkbk.edu.in/engineering/placements,Verified
Bangalore,Tier 3,Alpha College of Engineering,"Hennur-Bagalur Road, Bangalore",Mr. N. Hussain,Director - Placement & Training,"080-28445218, 080-28445248",info@alphace.ac.in,admissions@alphace.ac.in,https://www.alphace.ac.in,General Office
Bangalore,Tier 3,City Engineering College,"Kanakapura Road, Bangalore",Dr. Mohammed Mathenulla Shariff,Training & Placement Officer,+91 9880521339,placements@cityengineeringcollege.ac.in,College: +91 9880411361,https://cityengineeringcollege.ac.in/placements,Verified
Bangalore,Tier 3,Impact College of Engineering & Applied Sciences (ICEAS),"Kodigehalli, Bangalore",Placement Cell,Training & Placement (Wg. Cdr Ganesan / Mr. Ramaprasad),"+91 8050011855, +91 8880810015",info@impact.ac.in,engg@impactinstitutions.org; admissions@impact.ac.in,https://impact.ac.in,General Office
Bangalore,Tier 3,Akash Institute of Engineering & Technology,"Devanahalli, Bangalore",Placement Cell,Training & Placement,+91 9513107575,sindhu.placement@akashinstitutions.com,Info@akashiet.com,https://www.akashinstitutions.com/placements,Verified
Bangalore,Tier 3,Vivekananda Institute of Technology (VKIT),"Kumbalagodu, Bangalore",Dr. Shaila,Placement Officer,"+91 9964579958, 080-28437036",principal@vitb.ac.in,vkitprincipal@gmail.com,https://vitb.ac.in,Verified
Bangalore,Tier 3,Sri Krishna Institute of Technology (SKIT),"Chikkabanavara, Bangalore",Nethravathi B,Training & Placement Officer,"080-28392221, +91 9731296446",info@skit.org.in,Contact via college website,https://skit.org.in/placements,Verified
Bangalore,Tier 3,KNS Institute of Technology,"Yelahanka, Bangalore",Mr. Mujtaba Waseem,Placement & Training Officer,"+91 9900033935, 080-28567955",placement@knsit.com,info@knsit.com,https://knsit.in/placements,Verified
Bangalore,Tier 3,Rajiv Gandhi Institute of Technology (RGIT),"RT Nagar, Bangalore",Ravikumar N,Head of Corporate Relations,"+91 9844157207, 080-23631145",placement@rgit.ac.in,principal@rgit.ac.in,https://www.rgit.ac.in,Verified
Bangalore,Tier 3,PES University (Engineering),"100 Feet Road, Bangalore",Placement Office,Career Development Cell,080-26721983,placement@pes.edu,Contact PES placement portal,https://www.pes.edu,General Office
Bangalore,Tier 3,Ramaiah University of Applied Sciences (RUAS),"MSRIT Campus, Bangalore",Placement Cell,Training & Placement,080-23600810,placement@msruas.ac.in,Contact MSRIT placement coordination,https://www.msruas.ac.in,General Office
Bangalore,Tier 3,Nitte School of Engineering (NSE),"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Same as NMIT contacts,https://www.nitte.edu.in,Verified
Bangalore,Tier 3,Global Institute of Technology (GIT),"Rajajinagar, Bangalore",Placement Cell,Training & Placement,080-28603158,placement@gat.ac.in,Note: Different from GAT - verify college,https://gat.ac.in,General Office
Bangalore,Tier 3,Sri Sairam College of Engineering (SSCE),"Anekal, Bangalore",Placement Cell,Training & Placement,080-27822000,principal@sairam.edu.in,Contact college for TPO,https://www.saice.ac.in,General Office
Bangalore,Tier 3,Nitte Meenakshi Institute of Technology - MBA,"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Dr. Vinayaka N: +91 9902385846,https://www.nmit.ac.in,Verified
Bangalore,Tier 3,Nitte School of Architecture (Engineering wing),"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Nitte group placement,https://www.nitte.edu.in,General Office
Bangalore,Tier 3,R.V. College of Architecture (Engineering affiliated),"Jayanagar, Bangalore",Placement Cell,Training & Placement,080-67178000,placement@rvce.edu.in,RVCE group placement,https://www.rvce.edu.in,General Office
Bangalore,Tier 3,Nitte School of Management (Engineering placements),"Yelahanka, Bangalore",CDC Office,Career Development Centre,080-22167821,placement@nmit.ac.in,Nitte group,https://www.nitte.edu.in,General Office
Bangalore,Tier 3,East Point Group - MBA/MCA Placements,"Bidarahalli, Bangalore",Mr. Sachin N. Gudimani,Head - Training & Placement,+91 9916906243,placement@eastpoint.ac.in,Prof. Dhananjaya: +91 9986400400,https://epcet.edu.in/placement,Verified
Bangalore,Tier 3,Don Bosco Institute of Technology - MCA,"Kumbalagodu, Bangalore",Prof. Umesh V,Director - Training & Placement,+91 7259855234,placements@dbit.co.in,,https://dbit.edu.in,Verified
Bangalore,Tier 3,Presidency University - MBA Placements,"Yelahanka, Bangalore",Ms. Kavitha V,Associate Director - CSIC,+91 9944798031,kavitha.v@presidencyuniversity.in,Mr. Mohammed Asif T: +91 9449219600,https://presidencyuniversity.in/placements,Verified
Bangalore,Tier 3,CMR Institute of Technology - MBA,"Kundalahalli, Bangalore",Shri. Heroji Anbalagan,Placement Head - MBA,080-28524466,anbalagan.h@cmrit.ac.in,Dr. Poonam V. Tijare: +91 9342581014,https://www.cmrit.ac.in/placements/contact-us,Verified
Bangalore,Tier 3,BNMIT - MBA Placements,"Banashankari, Bangalore",Ms. Payal Jindal,Placement Head - MBA,+91 9902058434,mbaplacements@bnmit.in,payaljindal@bnmit.in,https://www.bnmit.org,Verified
Bangalore,Tier 3,RNSIT - MBA Placements,"RR Nagar, Bangalore",Placement Cell,MBA Placement Office,080-28611880,placement.mba@rnsit.ac.in,Dr. Mamatha G: +91 9945744833,https://www.rnsit.ac.in/placements,Verified
Bangalore,Tier 3,MVJ College - MCA Placements,"Whitefield, Bangalore",Prof. Jayaramu M,Placement Coordinator - MCA,+91 8861292408,director.placement@mvjce.edu.in,Prof. Ujjwal Divakaran: +91 80-42991080,https://mvjce.edu.in,Verified
Bangalore,Tier 3,Acharya - MBA Placements,"Soladevanahalli, Bangalore",Geetha Gopinath,Placement Officer - MBA,+91 7406644449,placements@acharya.ac.in,Dr. Hemamalini M J: hemamalini2951@acharya.ac.in,https://www.ait.ac.in,Verified
Bangalore,Tier 3,SEA College - MBA/MCA Placements,"KR Puram, Bangalore",Dr. Chidanand Prasad R,Director - Placements,+91 8095700789,director.placements@seaedu.ac.in,placement.seacet@gmail.com,https://seacet.edu.in,Verified
Bangalore,Tier 3,Oxford College - MBA/MCA Placements,"HSR Layout, Bangalore",Dr. Bheemeswara Reddy V,Dean - Training & Placements,+91 9035806160,placements@theoxford.edu,Prof. Rajesh G.L: +91 9916468891,https://www.theoxfordengg.org,Verified
Bangalore,Tier 3,HKBK - OneSB Placements,"Nagawara, Bangalore",Placement Cell - OneSB,Training & Placement,+91 9740878146,placements@onesb.edu.in,Spoorthy Mahadikar: placements@hkbk.edu.in,https://hkbk.edu.in,Verified
Bangalore,Tier 3,Jain University - MBA Placements,Bangalore,Premavathi S,Team Lead - Placements & Corporate Relations,+91 9482896935,premavathi.s@jainuniversity.ac.in,placements@jainuniversity.ac.in,https://www.jainuniversity.ac.in,Verified
Bangalore,Tier 3,Alliance University - MBA Placements,"Anekal, Bangalore",Placement Office,Career Advancement & Networking,+91 80 46199066,placements@alliance.edu.in,bindu.ev@alliance.edu.in,https://www.alliance.edu.in,Verified
Bangalore,Tier 3,CMR University - MBA Placements,"HRBR Layout, Bangalore",Aditya Gupta,Director - Training & Placements,+91 80 25426977,aditya.g@cmr.edu.in,Farheen Khan: farheen.k@cmr.edu.in,https://cmr.edu.in/placement-cell,Verified
Bangalore,Tier 3,REVA University - MBA Placements,"Yelahanka, Bangalore",Dr. N. Ramesh,"Dean - Training, Placement & Planning",080-46966966,placement@reva.edu.in,,https://www.reva.edu.in,Verified
Bangalore,Tier 3,New Horizon - MBA Placements,"Kadubeesanahalli, Bangalore",Mr. Pradeep Kote,Sr. Director - CDC,+91 9740033009,sr.dir_cdc@newhorizonindia.edu,tpo_nhce@newhorizonindia.edu,https://placements.newhorizoncollegeofengineering.in,Verified
Bangalore,Tier 3,RajaRajeswari - MBA/MCA Placements,"Mysore Road, Bangalore",Prof. SUSHMA RAWATH,MBA Placement Coordinator,+91 9482413278,placements@rrce.org,Dr. Parameshwara P: +91 9945938845,https://www.rrce.org/placement-contact,Verified
Bangalore,Tier 3,Sapthagiri - MBA Placements,"Hesaraghatta, Bangalore",Prof. Gurucharan Singh,Group CHRO,+91 9008509999,gurucharan.singh@snpsu.edu.in,placements@rrce.org,https://sapthagiri.edu.in,Verified
Chennai,Tier 2,SSN College of Engineering,"Kalavakkam, OMR, Chennai",Placement Manager,Career Development Centre,"+91 7338845102, 044-27469700 Ext:259",placement@ssn.edu.in,"CDC 1st Floor, SSN Campus",https://www.ssn.edu.in/placement,Verified
Chennai,Tier 2,SRM Institute of Science and Technology (Kattankulathur),"Kattankulathur, Chennai",Directorate of Career Centre,Career Centre,"044-27455774, +91 7200478002",placement@srmist.edu.in,+91 9940036016,https://www.srmist.edu.in/placements,Verified
Chennai,Tier 2,SRM IST Ramapuram,"Ramapuram, Chennai",M. Karthick,Head - Placements,+91 9962221050,placement@srmrmp.edu.in,"Mr. T. Madhavan: +91 7550037112, +91 9842916830",https://srmrmp.edu.in/training-and-placement-cell,Verified
Chennai,Tier 2,VIT Chennai,"Vandalur-Kelambakkam Road, Chennai",Dr. Arockia SelvaKumar & Prof. Anantha Krishnan,Assistant Directors - CDC,044-39931555,chennai.pat@vit.ac.in,patqueries.chennai@vit.ac.in; Dr. Padmanabhan R (JD CDC): chennai.jdcdc@vit.ac.in,https://chennai.vit.ac.in/placements,Verified
Chennai,Tier 2,Sathyabama Institute of Science and Technology,"Jeppiaar Nagar, OMR, Chennai",Dr. E. John Bruce,Director - Placement & Corporate Affairs,044-24503810,johnbruce@sathyabama.ac.in,dean.placement@sathyabama.ac.in; director.placement@sathyabama.ac.in,https://www.sathyabama.ac.in/placements,Verified
Chennai,Tier 2,Rajalakshmi Engineering College (REC),"Thandalam, Chennai",Mr. I. Philip Praveen,Director - Training and Placement,"+91 9381436664, 044-67181015",placement@rajalakshmi.edu.in,training@rajalakshmi.edu.in,https://www.rajalakshmi.edu.in,Verified
Chennai,Tier 2,Sri Sairam Engineering College,"West Tambaram, Chennai",Dr. L. Arunachalam,Dean - Training & Placement,"+91 9677054441, 044-22512222",dean.tap@sairam.edu.in,Mr. R. Vedamoorthy (PO): +91 9677065552; sairamplacement@sairam.edu.in,https://sairam.edu.in,Verified
Chennai,Tier 2,Saveetha Engineering College,"Thandalam, Chennai",Dr. Sasikumar Siva,Professor CSE & Head Placement,044-66726666,info@saveetha.ac.in,sechr002@saveetha.ac.in,https://saveetha.ac.in/placement,Verified
Chennai,Tier 2,Sri Venkateswara College of Engineering (SVCE),"Sriperumbudur, Chennai",Dr. T. Ilango,"Director - Admission, Placement & Training",044-27152000,acm@svce.ac.in,Dr. M. Suresh Kumar (Asst PO); Mr. A. Jayakumar (Sr Manager T&P),https://www.svce.ac.in/placement,Verified
Chennai,Tier 2,Panimalar Engineering College,"Poonamallee, Chennai",Prof. N. Viswanathan,Head - Training & Placement,044-26274665,placement@panimalar.ac.in,Mr. A. Amulraj (Placement Coordinator),https://panimalar.ac.in/placement.php,Verified
Chennai,Tier 2,RMK Engineering College,"Kavaraipettai, Chennai",Dr. K.K. Sivagnana Prabhu,Head - Training & Corporate Affairs,"+91 8883033336, 044-67906755",placement@rmkec.ac.in,hod.tnp@rmkec.ac.in; Ms. Dedeepya A: placement@rmkec.ac.in,https://rmkec.ac.in,Verified
Chennai,Tier 2,Chennai Institute of Technology (CIT),"Kundrathur, Chennai",Dr. R. Balamurali,Dean - Industry Relations,"+91 9444112255, 044-71119111",admission@citchennai.net,Dr. T. Vinu: +91 7558106454,https://citchennai.edu.in,Verified
Chennai,Tier 2,KCG College of Technology,"Karapakkam, OMR, Chennai",Dr. Chandramohan R,Dean - Industry Partnership & Corporate Affairs,"+91 9677851471, 044-28389001",placement@kcgcollege.com,+91 8220221114,https://kcgcollege.ac.in/placements,Verified
Chennai,Tier 2,Hindustan Institute of Technology & Science (HITS),"Padur, OMR, Chennai",Mr. S. Arivazhagan,Head - Placement,"+91 8825892154, 1800-425-4438",placement@hindustanuniv.ac.in,044-27474262,https://hindustanuniv.ac.in/placements,Verified
Chennai,Tier 2,B.S. Abdur Rahman Crescent Institute of Science & Technology,"Vandalur, Chennai",Dr. G. Arunachalam,Joint Director - CDC & IR,"+91 9962666506, 044-22759232",placement@crescent.education,arunachalam@crescent.education; +91 7403366001,https://crescent.education/contact-placement,Verified
Chennai,Tier 2,Vel Tech Rangarajan Dr. Sagunthala R&D Institute,"Avadi, Chennai",Dr. P. Vijayaraman,Dean - Campus to Corporate,"+91 9940024091, +91 7338747791",placement@veltech.edu.in,Mr. S P Niithin (PO): +91 9940677935; Bhadhu Ravali (PO),https://www.veltech.edu.in/campus-to-corporate,Verified
Chennai,Tier 2,St. Joseph's College of Engineering,"OMR, Chennai",Dr. B. Diwan,Dean - Career Development Centre,"+91 9944987560, +91 9443782867",placement@stjosephs.ac.in,044-24501060,https://stjosephs.ac.in/placement.html,Verified
Chennai,Tier 2,Easwari Engineering College (SRM Group),"Ramapuram, Chennai",Mr. G. Swaminathan,Placement Officer,+91 7708516957,placement@eec.srmrmp.edu.in,044-43923025,https://srmeaswari.ac.in/placement,Verified
Chennai,Tier 2,Velammal Engineering College,"Surapet, Ambattur, Chennai",Mr. A. Arun Ramaswami,Head - Training & Placement,"+91 9940127839, 044-26590758",placement@velammal.edu.in,+91 9444008233,https://velammal.edu.in,Verified
Chennai,Tier 2,Rajalakshmi Institute of Technology (RIT),"Kuthambakkam, Chennai",Mr. G. Sai Krishnan,Head - Placement & Training,"+91 9710234579, 044-37181600",placement@rajalakshmi.edu.in,Same Rajalakshmi group placement email,https://ritchennai.org,Verified
Chennai,Tier 3,Sri Sairam Institute of Technology (SSIT),"West Tambaram, Chennai",Placement Cell (Sairam Group),Training & Placement,044-22512222,sairamplacement@sairam.edu.in,dean.tap@sairam.edu.in; Dr. L. Arunachalam: +91 9677054441,https://sairamit.edu.in,Verified
Chennai,Tier 3,Jeppiaar Engineering College,"Semmencherry, OMR, Chennai",Training & Placement Department,Placement Cell,"044-24502818, 1800-425-2220",principal@jeppiaarcollege.org,sdc@jeppiaarcollege.org,https://jeppiaarcollege.org,General Office
Chennai,Tier 3,Agni College of Technology,"Thalambur, OMR, Chennai",Placement Cell,Training & Placement,044-67409441 to 044-67409499,mail@act.edu.in,Reception (60 lines),https://www.act.edu.in,General Office
Chennai,Tier 3,Prince Shri Venkateshwara Padmavathy Engineering College,"Ponmar, Chennai",Placement Cell,Training & Placement Cell,"+91 9047040413, +91 9677029234",prince@psvpec.in,300+ companies annually,https://psvpec.in/placements-details,Verified
Chennai,Tier 3,Anand Institute of Higher Technology,"Kazhipattur, Chennai",Placement Cell,Training & Placement,044-27474400,info@aiht.ac.in,Contact college for TPO,https://www.aiht.ac.in,General Office
Chennai,Tier 3,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"Avadi, Chennai",Placement Cell,Training & Placement,044-26840181,placement@veltech.edu.in,Vel Tech group placement,https://www.veltechmultitech.org,General Office
